step,train_acc
0,0.109375
100,0.125
200,0.21875
300,0.265625
400,0.40625
500,0.375
600,0.65625
700,0.4375
800,0.59375
900,0.53125
1000,0.671875
1100,0.578125
1200,0.59375
1300,0.65625
1400,0.71875
1500,0.609375
1600,0.828125
1700,0.796875
1800,0.6875
1900,0.765625
2000,0.75
2100,0.84375
2200,0.734375
2300,0.796875
2400,0.796875
2500,0.78125
2600,0.859375
2700,0.9375
2800,0.875
2900,0.84375
3000,0.875
3100,0.890625
3200,0.859375
3300,0.84375
3400,0.859375
3500,0.90625
3600,0.859375
3700,0.890625
3800,0.90625
3900,0.9375
4000,0.875
4100,0.90625
4200,0.890625
4300,0.9375
4400,0.890625
4500,0.921875
4600,0.9375
4700,0.9375
4800,0.90625
4900,0.90625
5000,0.9375
5100,0.890625
5200,0.953125
5300,0.921875
5400,0.921875
5500,0.9375
5600,0.921875
5700,0.96875
5800,0.953125
5900,0.9375
6000,0.921875
